47,49
15,6
22,48
45,22
31,4
39,20
44,7
1,46
17,41
10,34
3,6
27,38
27,41
30,17
46,45
37,49
32,5
38,38
2,44
13,27
42,19
49,8
27,23
43,26
27,15
46,10
2,49
24,49
8,0
12,20
15,26
36,36
29,27
35,19
13,7
40,21
12,17
25,43
20,25
3,10
35,33
47,13
6,45
46,1
46,43
35,14
24,3
10,18
1,32
4,40
2,49
42,36
47,3
2,14
23,21
39,35
25,14
24,21
42,6
2,34
49,24
2,38
15,20
25,41
43,5
41,2
45,29
32,18
12,10
28,1
1,32
21,6
22,21
26,18
6,8
42,38
43,32
47,15
41,18
28,7
26,32
39,1
24,1
14,3
39,45
39,19
9,2
26,46
21,49
2,23
21,40
18,47
8,25
29,22
13,3
12,40
11,46
12,24
15,47
16,25
